item_number	title	condition	description	email	type	piece_count	platform	media
6549	Mark of the Ninja	Like New	Action & Adventure   Klei Entertainment	usr884@gt.edu	Video Game		Xbox	Optical disc
6550	NFL Quarterback Club 98	Lightly Used	Iguana Entertainment   Acclaim Sports	usr884@gt.edu	Video Game		Nintendo	Game card
6551	Doctor Who: The Collectible Trading Card Game	Heavily Used	M.M.G. Ltd.   	usr884@gt.edu	Card Game			
6552	Harry Potter Trading Card Game	Damaged/Missing parts	Wizards of the Coast   	usr884@gt.edu	Card Game			
6553	Mars: War Logs	Like New	Role Playing   Spiders	usr884@gt.edu	Video Game		Xbox	Optical disc
6554	Pokemon TCG Online	Damaged/Missing parts	Dire Wolf Digital   The Pokemon Company	usr884@gt.edu	Computer Game		macOS	
6555	Ballet Beauties 	Like New	Super Sized Jigsaw Floor Puzzle By Ravensburger	usr884@gt.edu	Jigsaw Puzzle	24		
6556	Borderlands	Damaged/Missing parts	Gearbox Software   2K Games	usr884@gt.edu	Computer Game		Linux	
6557	Games Publications Group	Like New	1999  	usr885@gt.edu	Board Game			
6558	Astebreed	Like New	Edelweiss   Playism	usr885@gt.edu	Computer Game		Windows	
6559	Battleground 4: Shiloh	Lightly Used	TalonSoft	usr885@gt.edu	Computer Game		Windows	
6560	Hellenes: Campaigns of the Peloponnesian War	Mint	GMT Games  2009	usr885@gt.edu	Board Game			
6561	Daikaijuu Monogatari: The Miracle of the Zone	Like New	Amada Printing   	usr885@gt.edu	Card Game			
6562	Shogun: Total War	Mint	The Creative Assembly   Electronic Arts, Sega, Sold-Out Software	usr886@gt.edu	Computer Game		Windows	
6563	DC Studios	Mint	SouthPeak Interactive   Sports/Soccer	usr886@gt.edu	Video Game		Nintendo	Cartridge
6564	Troy	Moderately Used	Chaosium  1977	usr886@gt.edu	Board Game			
6565	Minecraft: Story Mode Season Two	Mint	Graphic adventure & interactive movie   Telltale Games	usr886@gt.edu	Video Game		Xbox	Optical disc
6566	Anomaly: Warzone Earth	Mint	11 bit studios	usr886@gt.edu	Computer Game		Windows	
6567	Games Publications Group	Lightly Used	1999  	usr886@gt.edu	Board Game			
6568	Anubis II	Like New	Data Design Interactive   Metro3D Europe	usr886@gt.edu	Computer Game		macOS	
6569	CodemastersPAL	Heavily Used	Racing/Arcade   1999-03-24NA	usr886@gt.edu	Video Game		Nintendo	Cartridge
6570	Black Mesa	Lightly Used	Crowbar Collective	usr886@gt.edu	Computer Game		Windows	
6571	Thorgal Kolekcjonerska Gra Karciana	Moderately Used	Egmont Polksa   	usr886@gt.edu	Card Game			
6572	Batman: Arkham Origins	Heavily Used	WB Games Montr�al, Splash Damage   Warner Bros. Interactive Entertainment	usr886@gt.edu	Computer Game		Windows	
6573	Perfect Dark	Lightly Used	Rare   Rare	usr887@gt.edu	Video Game		Nintendo	Game card
6574	Generals Order	Mint	Strategy Entertainment   	usr887@gt.edu	Card Game			
6575	Beast Clans	Mint	Beast Clans LLC   	usr887@gt.edu	Card Game			
6576	High Stakes Drifter	Mint	WizKids   	usr887@gt.edu	Card Game			
6577	Spore	Like New		usr887@gt.edu	Computer Game		macOS	
6578	NBA Pro '98PAL	Moderately Used	KCEO   Konami	usr887@gt.edu	Video Game		Nintendo	Optical disc
6579	Digimon Digi-Battle Card Game	Mint	Bandai   	usr887@gt.edu	Card Game			
6580	Mass Effect	Damaged/Missing parts	Action RPG   BioWare	usr887@gt.edu	Video Game		Xbox	Cartridge
6581	Onegai Monsters	Moderately Used	Bottom Up   Bottom Up	usr887@gt.edu	Video Game		Nintendo	Optical disc
6582	Young Jedi Collectible Card Game	Lightly Used	Decipher Inc.   	usr887@gt.edu	Card Game			
6583	Marvel: Ultimate Alliance	Moderately Used	Action RPG   Raven Software	usr888@gt.edu	Video Game		Xbox	Optical disc
6584	Time Traveler	Mint	Andrea Farnham (art and tricks)	usr888@gt.edu	Jigsaw Puzzle	32		
6585	Dragon Quest TCG	Damaged/Missing parts	Enix/Tenky   	usr888@gt.edu	Card Game			
6586	Morita Shogi 64	Mint	SETA Corporation   SETA Corporation	usr888@gt.edu	Video Game		Nintendo	Optical disc
6587	Madden NFL 17	Damaged/Missing parts	Sports   EA Tiburon	usr888@gt.edu	Video Game		Xbox	Optical disc
6588	Harry Potter Trading Card Game	Lightly Used	Wizards of the Coast   	usr888@gt.edu	Card Game			
6589	A Bastard's Tale	Mint	No Pest Productions	usr888@gt.edu	Computer Game		Windows	
6590	Assassin's Creed Syndicate	Moderately Used	Ubisoft Montreal   Ubisoft	usr888@gt.edu	Computer Game		Windows	
6591	The Elder Scrolls V: Skyrim	Mint	Bethesda Game Studios   Bethesda Softworks	usr888@gt.edu	Computer Game		Windows	
6592	Toy Story: Made to Play 	Lightly Used	Jigsaw Puzzle By Ravensburger NEW	usr889@gt.edu	Jigsaw Puzzle	35		
6593	Land Ahoy! 	Mint	Floor Jigsaw Puzzle By Ravensburger NEW	usr889@gt.edu	Jigsaw Puzzle	24		
6594	Battles in Time	Like New	Quantum Quality Productions, American Laser Games   Quantum Quality Productions	usr889@gt.edu	Computer Game		Windows	
6595	MicroBot	Like New	Shooter   Naked Sky Entertainment	usr889@gt.edu	Video Game		Xbox	Optical disc
6596	An Elder Scrolls Legend: Battlespire	Mint	Bethesda Softworks	usr889@gt.edu	Computer Game		Windows	
6597	Warcards 	Heavily Used	SC Patiart SRL   	usr889@gt.edu	Card Game			
6598	Time Traveler	Like New	Andrea Farnham (art and tricks)	usr889@gt.edu	Jigsaw Puzzle	32		
6599	MindJack	Moderately Used	Third-person Shooter   feelplus	usr889@gt.edu	Video Game		Xbox	Game card
6600	Kenshi	Lightly Used	Lo-Fi Games	usr890@gt.edu	Computer Game		Windows	
6601	Humaliens Collectible Card Game 	Heavily Used	AEG   	usr890@gt.edu	Card Game			
6602	Enclave	Damaged/Missing parts	Starbreeze Studios   Vivendi Universal, TopWare Interactive	usr890@gt.edu	Computer Game		Windows	
6603	A.R.E.S.: Extinction Agenda	Damaged/Missing parts		usr890@gt.edu	Computer Game		Windows	
6604	Battlefield V	Lightly Used	EA Digital Illusions CE   Electronic Arts	usr890@gt.edu	Computer Game		macOS	
6605	The Crow 	Lightly Used	Target Games/Heartbreaker Hobbies   	usr890@gt.edu	Card Game			
6606	Amnesia: A Machine for Pigs	Damaged/Missing parts	The Chinese Room   Frictional Games	usr890@gt.edu	Computer Game		Windows	
6607	FemWarriors 	Damaged/Missing parts	N Communications   	usr891@gt.edu	Card Game			
6608	Max Payne 3	Heavily Used	Third-person Shooter   Rockstar Vancouver	usr891@gt.edu	Video Game		Xbox	Optical disc
6609	A Bastard's Tale	Moderately Used	No Pest Productions	usr891@gt.edu	Computer Game		Windows	
6610	Champions	Moderately Used	F.X. Schmid/Gibsons Games   	usr891@gt.edu	Card Game			
6611	Mini Ninjas	Like New		usr892@gt.edu	Video Game		Xbox	Cartridge
6612	MagnaCarta II	Like New	RPG   Softmax	usr892@gt.edu	Video Game		Xbox	Optical disc
6613	Moon Landing 	Lightly Used	Jigsaw Puzzle By Ravensburger NEW	usr892@gt.edu	Jigsaw Puzzle	35		
6614	Frosty Adventures 	Moderately Used	Jigsaw Puzzle By Ravensburger NEW	usr892@gt.edu	Jigsaw Puzzle	48		
6615	Battlefield Play4Free	Like New		usr892@gt.edu	Computer Game		macOS	
6616	Beyond Good & Evil	Lightly Used		usr892@gt.edu	Computer Game		Windows	
6617	Fullmetal Alchemist: Alchemic Card Battle TCG 	Heavily Used	Bandai   	usr892@gt.edu	Card Game			
6618	Highlander: The Card Game 2nd Edition	Moderately Used	Rapidpod   	usr893@gt.edu	Card Game			
6619	Beyblade Collectible Card Game 	Mint	Takara   	usr893@gt.edu	Card Game			
6620	Kerbal Space Program	Like New	Squad	usr893@gt.edu	Computer Game		macOS	
6621	BioShock 2	Mint	2K Marin   2K Games	usr893@gt.edu	Computer Game		Linux	
6622	Ace Lightning	Mint	Absolute Studios   Gamezlab	usr893@gt.edu	Computer Game		macOS	
6623	Postal	Lightly Used		usr893@gt.edu	Computer Game		macOS	
6624	Papers, Please	Damaged/Missing parts	3909 LLC	usr893@gt.edu	Computer Game		Linux	
6625	Preparing to Fly 	Damaged/Missing parts	Floor Jigsaw Puzzle By Ravensburger	usr893@gt.edu	Jigsaw Puzzle	24		
6626	Karaoke Revolution Presents: American Idol Encore	Mint		usr893@gt.edu	Video Game		PlayStation	Game card
6627	StarCraft II: Legacy of the Void	Moderately Used		usr893@gt.edu	Computer Game		Windows	
6628	Queen of the Celts	Moderately Used	Avalanche Press  2007	usr893@gt.edu	Board Game			
6629	Monster High: New Ghoul in School	Lightly Used	Adventure   Little Orbit	usr894@gt.edu	Video Game		Xbox	Cartridge
6630	The Crow 	Mint	Target Games/Heartbreaker Hobbies   	usr894@gt.edu	Card Game			
6631	Xeko 	Like New	Matter Group   	usr894@gt.edu	Card Game			
6632	Midway Studios - San Diego	Moderately Used		usr894@gt.edu	Video Game		Nintendo	Game card
6633	Adventure Time Card Wars	Like New	based on the American fantasy animated television series created by Pendleton Ward for Cartoon Network   	usr894@gt.edu	Card Game			
6634	Mass Effect 3	Like New		usr894@gt.edu	Video Game		Xbox	Optical disc
6635	Generals Order	Moderately Used	Strategy Entertainment   	usr895@gt.edu	Card Game			
6636	Choro Q 64JP	Damaged/Missing parts	Locomotive Corporation   TakaraJP	usr895@gt.edu	Video Game		Nintendo	Game card
6637	Donkey Kong card game	Moderately Used	Nintendo   	usr895@gt.edu	Card Game			
6638	Wizard of Oz	Heavily Used	Molly Delaney (art)	usr895@gt.edu	Jigsaw Puzzle	39		
6639	The Elder Scrolls V: Skyrim	Like New	Bethesda Game Studios   Bethesda Softworks	usr895@gt.edu	Computer Game		Windows	
6640	"WildStorms: The Expandable Super-Hero Card Game	"	Moderately Used	WildStorm Productions   	usr895@gt.edu	Card Game			
6641	NFL Blitz Special Edition	Heavily Used	Point of View   Midway Home Entertainment	usr895@gt.edu	Video Game		Nintendo	Cartridge
6642	The Elder Scrolls II: Daggerfall	Damaged/Missing parts	Bethesda Softworks	usr895@gt.edu	Computer Game		Windows	
6643	Metro: Last Light	Heavily Used	Survival Horror, First-person Shooter   4A Games	usr895@gt.edu	Video Game		Xbox	Optical disc
6644	Multi-Racing ChampionshipJP	Mint	Genki   ImagineerJP	usr895@gt.edu	Video Game		Nintendo	Optical disc
6645	Aeroplane Chess	Moderately Used	China  Single six-sided die	usr895@gt.edu	Board Game			
6646	Allegiance: War of Factions	Lightly Used	an out-of-print social and political collectible card game set in a medieval city-state undergoing political turmoil   	usr896@gt.edu	Card Game			
6647	Assassin's Creed Syndicate	Like New		usr896@gt.edu	Computer Game		Windows	
6648	Call of Cthulhu: Collectible Card Game	Like New	Fantasy Flight Games   	usr896@gt.edu	Card Game			
6649	Olympic Hockey Nagano '98JP	Damaged/Missing parts	Treyarch Invention   Midway Home EntertainmentNA	usr896@gt.edu	Video Game		Nintendo	Cartridge
6650	Gundam War Nex-A 	Lightly Used	Bandai   	usr896@gt.edu	Card Game			
6651	Pharaoh's Curse	Lightly Used	Andrea Farnham (art and tricks)	usr896@gt.edu	Jigsaw Puzzle	49		
6652	Tropical Waters 	Mint	Jigsaw Puzzle by Ravensburger	usr896@gt.edu	Jigsaw Puzzle	500		
6653	Gasaraki Mission Director 	Lightly Used	Bandai   	usr896@gt.edu	Card Game			
6654	Mad Tracks	Lightly Used	Racing & Flying   Load	usr896@gt.edu	Video Game		Xbox	Cartridge
6655	Ken il Guerriero: Gioco di Carte Collezionabili 	Damaged/Missing parts	Alchemia   	usr896@gt.edu	Card Game			
6656	Captain Tsubasa Trading Card Game	Moderately Used	Konami   	usr897@gt.edu	Card Game			
6657	Burnout Paradise: The Ultimate Box	Moderately Used		usr897@gt.edu	Computer Game		Windows	
6658	"Highlander: The Card Game	"	Damaged/Missing parts	Thunder Castle Games   	usr897@gt.edu	Card Game			
6659	Hegemon	Lightly Used	LPS, Inc.  2002	usr897@gt.edu	Board Game			
6660	Ace Lightning	Moderately Used		usr897@gt.edu	Computer Game		macOS	
6661	24: Trading Card Game	Heavily Used		usr897@gt.edu	Card Game			
6662	The Peloponnesian War	Damaged/Missing parts	Simulations Canada  1977	usr898@gt.edu	Board Game			
6663	Blade Symphony	Like New	Puny Human   Puny Human Games	usr898@gt.edu	Computer Game		macOS	
6664	Barjees	Moderately Used		usr898@gt.edu	Board Game			
6665	Brawlhalla	Moderately Used	Blue Mammoth Games   Ubisoft	usr898@gt.edu	Computer Game		Windows	
6666	Penumbra: Requiem	Damaged/Missing parts	Frictional Games   Paradox Interactive	usr898@gt.edu	Computer Game		Linux	
6667	Stardew Valley	Like New	Eric Barone   ChuckleFish, ConcernedApe	usr898@gt.edu	Computer Game		Windows	
6668	Space Station 13	Heavily Used	SS13 Development Team	usr898@gt.edu	Computer Game		Windows	
6669	Timestream: The Remnant	Like New		usr898@gt.edu	Card Game			
6670	Just Dance 2015	Heavily Used	Ubisoft Paris   	usr898@gt.edu	Video Game		PlayStation	Game card
6671	CodemastersPAL	Heavily Used	Racing/Arcade   1999-03-24NA	usr899@gt.edu	Video Game		Nintendo	Cartridge
6672	Hannibal	Like New	Aulic Council  1983	usr899@gt.edu	Board Game			
6673	"Guardians	"	Heavily Used	FPG Inc.   	usr899@gt.edu	Card Game			
6674	Diggers at Work 	Heavily Used	Multipack Jigsaw Puzzle By Ravensburger NEW	usr899@gt.edu	Jigsaw Puzzle	48		
6675	AdvertCity	Lightly Used	VoxelStorm	usr899@gt.edu	Computer Game		Windows	
6676	KonamiJP	Mint		usr899@gt.edu	Video Game		Nintendo	Optical disc
6677	Digimon D-Tector 	Like New		usr899@gt.edu	Card Game			
6678	Persona 4 Golden	Damaged/Missing parts	Atlus   Sega	usr900@gt.edu	Computer Game		Windows	
6679	Ben 10	Like New		usr900@gt.edu	Card Game			
6680	Jikkyou Powerful Pro Yakyuu 2011	Lightly Used	Konami   July 14, 2011	usr900@gt.edu	Video Game		PlayStation	Cartridge
6681	Jurassic: The Hunted	Damaged/Missing parts		usr900@gt.edu	Video Game		PlayStation	Cartridge
6682	James Bond 007: Blood Stone	Mint	Bizarre Creations   	usr900@gt.edu	Video Game		PlayStation	Game card
6683	Age of Empires II: HD Edition	Damaged/Missing parts	Hidden Path Entertainment, Ensemble Studios   Microsoft Game Studios	usr900@gt.edu	Computer Game		Linux	
6684	Hecatomb	Mint	Wizards of the Coast   	usr900@gt.edu	Card Game			
6685	Ms. Pac-Man Maze Madness	Mint	Mass Media Games   Namco	usr900@gt.edu	Video Game		Nintendo	Game card
6686	Construction Trucks 	Heavily Used	Jigsaw Puzzle By Ravensburger NEW	usr900@gt.edu	Jigsaw Puzzle	60		
6687	Frosty Adventures 	Mint	Jigsaw Puzzle By Ravensburger NEW	usr900@gt.edu	Jigsaw Puzzle	48		
6688	Monster Hunter Frontier G5	Heavily Used	Action role-playing, Expansion   Capcom	usr900@gt.edu	Video Game		Xbox	Game card
6689	Dickens of a Christmas	Heavily Used		usr901@gt.edu	Jigsaw Puzzle	58		
6690	The Elder Scrolls V: Skyrim	Lightly Used	Bethesda Game Studios   Bethesda Softworks	usr901@gt.edu	Computer Game		Windows	
6691	C-23 	Moderately Used		usr901@gt.edu	Card Game			
6692	Age of Conan	Mint	Funcom	usr901@gt.edu	Computer Game		Windows	
6693	Absolute Force Online	Mint	TQ Digital   NetDragon Websoft Inc.	usr901@gt.edu	Computer Game		macOS	
6694	GMT Games	Damaged/Missing parts	2008  	usr901@gt.edu	Board Game			
6695	Terror 	Heavily Used		usr901@gt.edu	Card Game			
6696	A Druid's Duel	Mint	Thoughtshelter Games   Surprise Attack, note	usr901@gt.edu	Computer Game		Windows	
6697	Xeko 	Like New		usr901@gt.edu	Card Game			
6698	Winx Club Collectible Card Game 	Damaged/Missing parts	Rainbow Games/Upper Deck   	usr901@gt.edu	Card Game			
6699	Man Vs. Wild With Bear Grylls	Moderately Used	Adventure   G.rev	usr902@gt.edu	Video Game		Xbox	Game card
6700	WildStar	Damaged/Missing parts		usr902@gt.edu	Computer Game		Windows	
6701	Rockstar Games	Lightly Used	Racing/Automobile   1999-06-30NA	usr902@gt.edu	Video Game		Nintendo	Cartridge
6702	Minesweeper Flags	Moderately Used	Puzzle & Trivia   TikGames	usr902@gt.edu	Video Game		Xbox	Optical disc
6703	Adidas Power Soccer	Damaged/Missing parts	Psygnosis France   Psygnosis	usr902@gt.edu	Computer Game		macOS	
6704	"Future Card Buddyfight	"	Lightly Used	Bushiroad   	usr902@gt.edu	Card Game			
6705	Starbound	Heavily Used	Chucklefish	usr902@gt.edu	Computer Game		macOS	
6706	Meet the Robinsons	Mint	Action-adventure, Platformer   Avalanche Software	usr902@gt.edu	Video Game		Xbox	Game card
6707	Baldur's Gate	Damaged/Missing parts		usr902@gt.edu	Computer Game		Windows	
6708	Alexander at Tyre	Like New	Thunderhaven Game Co.  1993	usr903@gt.edu	Board Game			
6709	Babylon 5 Collectible Card Game 	Heavily Used	by Precedence Entertainment   	usr903@gt.edu	Card Game			
6710	Battlefield 4	Damaged/Missing parts	EA Digital Illusions CE   Electronic Arts	usr903@gt.edu	Computer Game		macOS	
6711	Valley Games	Like New	2007  	usr903@gt.edu	Board Game			
6712	James Bond 007: Blood Stone	Moderately Used	Bizarre Creations   	usr903@gt.edu	Video Game		PlayStation	Game card
6713	Xeko 	Mint	Matter Group   	usr903@gt.edu	Card Game			
6714	A-10 Cuba!	Heavily Used	Parsoft Interactive   Activision	usr903@gt.edu	Computer Game		Windows	
6715	Pro Mahjong Kiwame 64	Damaged/Missing parts	Athena   Athena	usr903@gt.edu	Video Game		Nintendo	Optical disc
6716	Borderlands 3	Lightly Used	Gearbox Software   2K Games	usr903@gt.edu	Computer Game		macOS	
6717	Xena: Warrior Princess 	Moderately Used		usr904@gt.edu	Card Game			
6718	"Wyvern	"	Like New		usr904@gt.edu	Card Game			
6719	Pools of Darkness	Mint	Strategic Simulations, Inc., MicroMagic, Inc., Marionette (PC9800)   Strategic Simulations, Inc., Pony Canyon (PC9800)	usr904@gt.edu	Computer Game		Windows	
6720	Event 0	Damaged/Missing parts	Ocelot Society	usr904@gt.edu	Computer Game		Windows	
6721	"World of Warcraft Trading Card Game	"	Moderately Used	Upper Deck/Cryptozoic Entertainment   	usr904@gt.edu	Card Game			
6722	Centurion: Tactical Warfare, 100 BC-600 AD	Heavily Used	Simulations Publications, Inc.  1971	usr904@gt.edu	Board Game			
6723	Allegiance: War of Factions	Heavily Used	an out-of-print social and political collectible card game set in a medieval city-state undergoing political turmoil   	usr904@gt.edu	Card Game			
6724	MLB Stickball	Damaged/Missing parts	Sports & Recreation   Gaia Industries	usr904@gt.edu	Video Game		Xbox	Game card
6725	Dragon Dynasty Collectible Card Game	Moderately Used	Romancing Cathay   	usr904@gt.edu	Card Game			
6726	Queens of the Ocean 	Moderately Used	Jigsaw Puzzle By Ravensburger NEW	usr905@gt.edu	Jigsaw Puzzle	35		
6727	Weiss Schwarz 	Damaged/Missing parts		usr905@gt.edu	Card Game			
6728	Madden NFL 09	Mint	Sports   EA Tiburon	usr905@gt.edu	Video Game		Xbox	Cartridge
6729	SimCity	Heavily Used		usr905@gt.edu	Computer Game		Windows	
6730	Acceleration of Suguri X Edition	Damaged/Missing parts		usr905@gt.edu	Computer Game		macOS	
6731	Hayate the Combat Butler TCG 	Moderately Used	Konami   	usr905@gt.edu	Card Game			
6732	Project Zomboid	Damaged/Missing parts	The Indie Stone	usr905@gt.edu	Computer Game		Linux	
6733	Eiffel Tower	Like New	3D Jigsaw Puzzle By Ravensburger	usr905@gt.edu	Jigsaw Puzzle	216		
6734	Gridiron Fantasy Football	Heavily Used		usr905@gt.edu	Card Game			
6735	Inuyasha Trading Card Game 	Mint		usr905@gt.edu	Card Game			
6736	The Garbage Gang 	Like New		usr906@gt.edu	Card Game			
6737	Pixar Friends 	Heavily Used	Floor Jigsaw Puzzle By Ravensburger	usr906@gt.edu	Jigsaw Puzzle	60		
6738	Audiosurf 2	Lightly Used	Dylan Fitterer	usr906@gt.edu	Computer Game		Windows	
6739	Stronghold 3	Damaged/Missing parts		usr906@gt.edu	Computer Game		macOS	
6740	Pocket Monsters Stadium	Heavily Used	Nintendo EAD   	usr906@gt.edu	Video Game		Nintendo	Cartridge
6741	Euro Truck Simulator 2	Heavily Used	SCS Software	usr906@gt.edu	Computer Game		macOS	
6742	Mighty No. 9	Like New	Action & Adventure   Comcept/Inti Creates	usr907@gt.edu	Video Game		Xbox	Cartridge
6743	Major League Baseball 2K12	Heavily Used		usr907@gt.edu	Video Game		Xbox	Game card
6744	World of Warcraft: Battle for Azeroth	Mint	Blizzard Entertainment	usr907@gt.edu	Computer Game		Windows	
6745	Parlor! Pro 64: Pachinko Jikki Simulation	Moderately Used	Irem Software Engineering   	usr907@gt.edu	Video Game		Nintendo	Optical disc
6746	"Wakfu Trading Card Game	"	Lightly Used	Ankama Games/Upper Deck   	usr907@gt.edu	Card Game			
6747	NBA Hangtime	Mint	Midway Games   Midway Home EntertainmentNA	usr907@gt.edu	Video Game		Nintendo	Optical disc
6748	A dead world's dream	Lightly Used	JoqLePecheur	usr907@gt.edu	Computer Game		macOS	
6749	Banemaster: The Adventure	Damaged/Missing parts	by Chessex   	usr907@gt.edu	Card Game			
6750	Densel the Dragon	Damaged/Missing parts	Steve Richardson (tricks)	usr908@gt.edu	Jigsaw Puzzle	43		
6751	Battleground 8: Prelude to Waterloo	Heavily Used	TalonSoft	usr908@gt.edu	Computer Game		Windows	
6752	James Bond 007: Blood Stone	Heavily Used	Bizarre Creations   	usr908@gt.edu	Video Game		PlayStation	Game card
6753	World of Warplanes	Moderately Used		usr908@gt.edu	Computer Game		macOS	
6754	Ace Online	Moderately Used	MasangSoft Inc.   Many	usr908@gt.edu	Computer Game		Windows	
6755	Adrift (video game)	Heavily Used	Three One Zero   505 Games	usr908@gt.edu	Computer Game		Linux	
6756	NASCAR '99	Damaged/Missing parts		usr908@gt.edu	Video Game		Nintendo	Game card
6757	Tock	Lightly Used	Quebec, Canada  Cards played from a hand of standard playing cards	usr909@gt.edu	Board Game			
6758	Eve Online	Moderately Used	CCP Games	usr909@gt.edu	Computer Game		Windows	
6759	Ludo	Mint	England  Single six-sided die	usr909@gt.edu	Board Game			
6760	Tank Commander 	Like New		usr909@gt.edu	Card Game			
6761	I am Spartacus	Moderately Used		usr909@gt.edu	Board Game			
6762	KonamiJP	Moderately Used	Sports/Ice Hockey   1998-02-23NA	usr909@gt.edu	Video Game		Nintendo	Optical disc
6763	SWAT 4	Mint	Irrational Games   Vivendi Universal Games, Sierra Entertainment	usr909@gt.edu	Computer Game		Linux	
6764	Euro Truck Simulator 2	Like New		usr909@gt.edu	Computer Game		macOS	
6765	Asphalt 8: Airborne	Heavily Used		usr910@gt.edu	Computer Game		macOS	
6766	Deadlands: Lost Colony - Showdown 	Lightly Used	Pinnacle Entertainment Group   	usr910@gt.edu	Card Game			
6767	Mafia II	Lightly Used	Third-person Shooter, Action-adventure   2K Czech	usr910@gt.edu	Video Game		Xbox	Cartridge
6768	Inazuma Eleven 	Mint		usr910@gt.edu	Card Game			
6769	JoJo's Bizarre Adventure: Eyes of Heaven	Heavily Used	CyberConnect2   December 17, 2015	usr911@gt.edu	Video Game		PlayStation	Game card
6770	Epic of the Peloponnesian War	Mint	Clash of Arms  2006	usr911@gt.edu	Board Game			
6771	Alan Wake	Mint	Remedy Entertainment   Microsoft Game Studios, Remedy Entertainment, Nordic Games, E Frontier	usr911@gt.edu	Computer Game		Linux	
6772	Weiss Schwarz 	Damaged/Missing parts	Bushiroad   	usr911@gt.edu	Card Game			
6773	Jurassic: The Hunted	Like New	Cauldron HQ   	usr911@gt.edu	Video Game		PlayStation	Cartridge
6774	Anno 1701	Lightly Used	Related Designs   Sunflowers	usr911@gt.edu	Computer Game		Linux	
6775	Premier Manager 64	Like New	Dinamic Multimedia   Gremlin Interactive	usr911@gt.edu	Video Game		Nintendo	Game card
6776	Molly Delany (art)	Moderately Used	7/50	usr911@gt.edu	Jigsaw Puzzle	53		
6777	ARIDA: Backland's Awakening	Heavily Used	Aoca Game Lab	usr911@gt.edu	Computer Game		macOS	
6778	The Peloponnesian War	Mint	Victory Games  1991	usr911@gt.edu	Board Game			
6779	Teenage Mutant Ninja Turtles Trading Card Game 	Lightly Used	Upper Deck   	usr912@gt.edu	Card Game			
6780	Pentagon	Damaged/Missing parts	Andrea Farnham (art)	usr912@gt.edu	Jigsaw Puzzle	25		
6781	Dune	Lightly Used	Last Unicorn Games/Five Rings Publishing Group/Wizards of the Coast   	usr912@gt.edu	Card Game			
6782	Adidas Power Soccer	Lightly Used		usr912@gt.edu	Computer Game		macOS	
6783	Anomaly: Warzone Earth	Lightly Used		usr912@gt.edu	Computer Game		Windows	
6784	Hayate the Combat Butler TCG 	Like New	Konami   	usr912@gt.edu	Card Game			
6785	Pony Island	Lightly Used	Daniel Mullins Games	usr912@gt.edu	Computer Game		Windows	
6786	Monster Hunter Frontier G7	Damaged/Missing parts	Action role-playing, Expansion   Capcom	usr912@gt.edu	Video Game		Xbox	Cartridge
6787	Counting Animals 	Like New	Floor Puzzle By Ravensburger (discon-17627)	usr912@gt.edu	Jigsaw Puzzle	60		
6788	SimCity	Lightly Used	Maxis   Electronic Arts	usr913@gt.edu	Computer Game		Windows	
6789	Midway Arcade Origins	Damaged/Missing parts	Compilation   Backbone Entertainment	usr913@gt.edu	Video Game		Xbox	Cartridge
6790	Epic Battles	Moderately Used		usr913@gt.edu	Card Game			
6791	Moon Landing 	Like New	Jigsaw Puzzle By Ravensburger NEW	usr913@gt.edu	Jigsaw Puzzle	35		
6792	Juiced 2: Hot Import Nights	Moderately Used	Juice Games / Paradigm Entertainment   January 24, 2008	usr913@gt.edu	Video Game		PlayStation	Cartridge
6793	Ketsui: Kizuna Jigoku Tachi Extra	Like New	5pb.   July 25, 2013	usr913@gt.edu	Video Game		PlayStation	Optical disc
6794	Anno 2205	Like New		usr913@gt.edu	Computer Game		macOS	
6795	Marathon: Durandal	Mint	Action & Adventure   Freeverse	usr914@gt.edu	Video Game		Xbox	Game card
6796	NuFX	Like New		usr914@gt.edu	Video Game		Nintendo	Optical disc
6797	John Daly's Prostroke Golf	Lightly Used	Gusto Games   	usr914@gt.edu	Video Game		PlayStation	Game card
6798	Killing Floor	Mint	Tripwire Interactive	usr914@gt.edu	Computer Game		Windows	
6799	Stronghold: Crusader Extreme	Mint	Firefly Studios   Gamecock Media Group	usr914@gt.edu	Computer Game		macOS	
6800	Actua Soccer	Damaged/Missing parts	Gremlin Interactive   Greenwood Entertainment	usr914@gt.edu	Computer Game		Linux	
6801	Preparing to Fly 	Lightly Used	Floor Jigsaw Puzzle By Ravensburger	usr914@gt.edu	Jigsaw Puzzle	24		
6802	Scrapland	Heavily Used	Mercury Steam Entertainment   Deep Silver, Enlight Software	usr914@gt.edu	Computer Game		Windows	
6803	Magic: The Gathering 2013	Lightly Used	Card & Board   Stainless Games	usr914@gt.edu	Video Game		Xbox	Cartridge
6804	Jyhad (AKA Vampire: The Eternal Struggle)	Heavily Used	Wizards of the Coast/White Wolf Publishing Inc./Black Chantry   	usr914@gt.edu	Card Game			
6805	"VS System	"	Mint	Upper Deck   	usr915@gt.edu	Card Game			
6806	Battlestar Galactica Collectible Card Game	Damaged/Missing parts		usr915@gt.edu	Card Game			
6807	Battles in Time	Moderately Used		usr915@gt.edu	Computer Game		Windows	
6808	Uckers	Moderately Used	England  Two six-sided dice	usr915@gt.edu	Board Game			
6809	Monday Night Combat	Moderately Used	Shooter   Uber Entertainment	usr915@gt.edu	Video Game		Xbox	Cartridge
6810	World of Warcraft	Damaged/Missing parts	Blizzard Entertainment	usr915@gt.edu	Computer Game		macOS	
